entry,type,sources,exists
README.md,file,,true
ablation_agentpoison_fullreact_minimax27_quarantine_only_vs_actioncanon_summary.json,file,paper evidence summary,true
baseline_agentpoison_fullreact_dpr_strategyqa_minimax27_triggerquery_heldout_instruction_repeat1,directory,EMNLP held-out instruction summary,true
baseline_agentpoison_fullreact_dpr_strategyqa_minimax27_triggerquery_heldout_instruction_repeat2,directory,EMNLP held-out instruction summary,true
baseline_agentpoison_fullreact_dpr_strategyqa_minimax27_triggerquery_heldout_instruction_v2,directory,EMNLP held-out instruction summary,true
baseline_agentpoison_fullreact_dpr_strategyqa_minimax27_triggerquery_repeat1,directory,EMNLP MiniMax small matrix summary; WINE RQ1 inherited P0 | EMNLP cross-provider runs CSV | EMNLP quarantine/actioncanon ablation summary,true
baseline_agentpoison_fullreact_dpr_strategyqa_minimax27_triggerquery_repeat2,directory,EMNLP MiniMax small matrix summary; WINE RQ1 inherited P0 | EMNLP cross-provider runs CSV | EMNLP quarantine/actioncanon ablation summary,true
baseline_agentpoison_fullreact_dpr_strategyqa_minimax27_triggerquery_v1,directory,EMNLP MiniMax small matrix summary; WINE RQ1 inherited P0 | EMNLP cross-provider runs CSV | EMNLP quarantine/actioncanon ablation summary,true
baseline_agentpoison_fullreact_minimax27_heldout_instruction_matrix_summary.json,file,paper evidence summary,true
baseline_agentpoison_fullreact_minimax27_rewrite_only_weak_comparator_summary.json,file,paper evidence summary,true
baseline_agentpoison_fullreact_minimax27_small_matrix_summary.json,file,paper evidence summary,true
baseline_agentpoison_fullreact_minimax27_static_keyword_filter_weak_comparator_summary.json,file,paper evidence summary,true
baseline_agentpoison_fullreact_minimax27_triggerquery_heldout_instruction_static_keyword_filter_repeat1,directory,EMNLP held-out instruction summary,true
baseline_agentpoison_fullreact_minimax27_triggerquery_heldout_instruction_static_keyword_filter_repeat2,directory,EMNLP held-out instruction summary,true
baseline_agentpoison_fullreact_minimax27_triggerquery_heldout_instruction_static_keyword_filter_v2,directory,EMNLP held-out instruction summary,true
baseline_agentpoison_fullreact_minimax27_triggerquery_rewrite_only_repeat1,directory,EMNLP rewrite-only comparator summary,true
baseline_agentpoison_fullreact_minimax27_triggerquery_rewrite_only_repeat2,directory,EMNLP rewrite-only comparator summary,true
baseline_agentpoison_fullreact_minimax27_triggerquery_rewrite_only_v1,directory,EMNLP rewrite-only comparator summary,true
baseline_agentpoison_fullreact_minimax27_triggerquery_static_keyword_filter_repeat1,directory,EMNLP cross-provider runs CSV | EMNLP static keyword comparator summary,true
baseline_agentpoison_fullreact_minimax27_triggerquery_static_keyword_filter_repeat2,directory,EMNLP cross-provider runs CSV | EMNLP static keyword comparator summary,true
