entry,type,reason,exists
.DS_Store,file,macOS metadata,false
baseline_agentdojo_minimax27_axis_switch_attempt_summary.json,file,"AgentDojo scouting/instability evidence, not retained paper evidence",false
baseline_agentdojo_minimax27_banking_search_highrisk_importantinstructions_none_v1,directory,"AgentDojo scouting/instability evidence, not retained paper evidence",false
baseline_agentdojo_minimax27_banking_search_highrisk_probe_importantinstructions_none_v1,directory,"AgentDojo scouting/instability evidence, not retained paper evidence",false
baseline_agentdojo_minimax27_banking_search_highutility_untried_importantinstructions_none_v1,directory,"AgentDojo scouting/instability evidence, not retained paper evidence",false
baseline_agentdojo_minimax27_banking_search_importantinstructions_none_v1,directory,"AgentDojo scouting/instability evidence, not retained paper evidence",false
baseline_agentdojo_minimax27_banking_search_toolknowledge_highutility_none_v1,directory,"AgentDojo scouting/instability evidence, not retained paper evidence",false
baseline_agentdojo_minimax27_banking_selected_importantinstructions_none_repeat1,directory,"AgentDojo scouting/instability evidence, not retained paper evidence",false
baseline_agentdojo_minimax27_banking_selected_importantinstructions_none_repeat2,directory,"AgentDojo scouting/instability evidence, not retained paper evidence",false
baseline_agentdojo_minimax27_banking_selected_importantinstructions_none_v1,directory,"AgentDojo scouting/instability evidence, not retained paper evidence",false
baseline_agentdojo_minimax27_banking_selected_importantinstructions_repeat_user_prompt_v1,directory,"AgentDojo scouting/instability evidence, not retained paper evidence",false
baseline_agentdojo_minimax27_banking_selected_importantinstructions_spotlighting_with_delimiting_repeat1,directory,"AgentDojo scouting/instability evidence, not retained paper evidence",false
baseline_agentdojo_minimax27_banking_selected_importantinstructions_spotlighting_with_delimiting_repeat2,directory,"AgentDojo scouting/instability evidence, not retained paper evidence",false
baseline_agentdojo_minimax27_banking_selected_importantinstructions_spotlighting_with_delimiting_v1,directory,"AgentDojo scouting/instability evidence, not retained paper evidence",false
baseline_agentdojo_minimax27_banking_selected_importantinstructions_ut11_it3_none_repeat1,directory,"AgentDojo scouting/instability evidence, not retained paper evidence",false
baseline_agentdojo_minimax27_banking_selected_importantinstructions_ut13_it2_none_repeat1,directory,"AgentDojo scouting/instability evidence, not retained paper evidence",false
