source,status,family_adapter,mas_decomposition,capabilities,constraints
swe_verified,UNRESOLVED,UNRESOLVED,UNRESOLVED,Full base-commit repository and issue; repository editing/testing via shell commonly available; setup network/images. Never expose patch/test_patch/eval_script or held-out tests to workers. Source does not require a particular solver scaffold.,P0 excludes uncontrolled model-authored native code/shell effects. Patch-only serialization is feasible but capability-equivalent execution/testing under P0 has not been demonstrated. Local Docker daemon absent. Dataset/repo licensing must be resolved.
bird_mini_pg,PASS,FEASIBLE,PASS,"Question, public evidence, complete schema/description/database contents; SELECT/WITH task family. Fixed read-only data/schema access and SQL envelope, no external browsing or arbitrary shell added. Original per-query timeout retained. No source solver-turn cap claimed.",No source-level blocker. PostgreSQL initialization not executed; timing metric not measured. Current archive differs from HF gold in one SQL entry; use canonical HF gold.
bird_mini_sqlite,PASS,FEASIBLE,PASS,"Question, public evidence, complete schema/description/database contents; SELECT/WITH task family. Fixed read-only data/schema access and SQL envelope, no external browsing or arbitrary shell added. Original per-query timeout retained. No source solver-turn cap claimed.",No source-level blocker. PostgreSQL initialization not executed; timing metric not measured. Current archive differs from HF gold in one SQL entry; use canonical HF gold.
livesqlbench-base-lite,UNRESOLVED,UNRESOLVED,UNRESOLVED,"Schema, column meanings, HKB and SQL environment; Query and Management/CRUD tasks. Must retain actual state transitions and all tests; cannot replace management with final SELECT. Native Agent/CLI wrappers are optional, not adopted.","Every inspected row has empty sol_sql, test_cases and external_knowledge. Official release requires email to obtain GT/test cases; not requested/sent here. No original complete scorer input available."
livesqlbench-base-lite-sqlite,UNRESOLVED,UNRESOLVED,UNRESOLVED,"Schema, column meanings, HKB and SQL environment; Query and Management/CRUD tasks. Must retain actual state transitions and all tests; cannot replace management with final SELECT. Native Agent/CLI wrappers are optional, not adopted.","Every inspected row has empty sol_sql, test_cases and external_knowledge. Official release requires email to obtain GT/test cases; not requested/sent here. No original complete scorer input available."
livesqlbench-base-full-v1,UNRESOLVED,UNRESOLVED,UNRESOLVED,"Schema, column meanings, HKB and SQL environment; Query and Management/CRUD tasks. Must retain actual state transitions and all tests; cannot replace management with final SELECT. Native Agent/CLI wrappers are optional, not adopted.","Every inspected row has empty sol_sql, test_cases and external_knowledge. Official release requires email to obtain GT/test cases; not requested/sent here. No original complete scorer input available."
livesqlbench-large-v1,UNRESOLVED,UNRESOLVED,UNRESOLVED,"Schema, column meanings, HKB and SQL environment; Query and Management/CRUD tasks. Must retain actual state transitions and all tests; cannot replace management with final SELECT. Native Agent/CLI wrappers are optional, not adopted.","Every inspected row has empty sol_sql, test_cases and external_knowledge. Official release requires email to obtain GT/test cases; not requested/sent here. No original complete scorer input available."
bird-interact-lite,UNRESOLVED,UNRESOLVED,UNRESOLVED,"Ambiguous question, source simulator, HKB/schema/DB tools; original per-action costs and phase rewards. Shared team budget; cannot replace simulator by disclosing clear query or reference SQL.",Missing GT/test cases; current simulator privately stores reference SQL and influences clarification/reward. Preserving that environment under P0 and MiniMax-only without changing source semantics unresolved.
bird-interact-full,UNRESOLVED,UNRESOLVED,UNRESOLVED,"Ambiguous question, source simulator, HKB/schema/DB tools; original per-action costs and phase rewards. Shared team budget; cannot replace simulator by disclosing clear query or reference SQL.",Missing GT/test cases; current simulator privately stores reference SQL and influences clarification/reward. Preserving that environment under P0 and MiniMax-only without changing source semantics unresolved.
browsecomp,UNRESOLVED,NOT_FEASIBLE,UNRESOLVED,Live web/search; reproducible resource snapshot not supplied. Private encrypted gold decryptable by official code but never decoded in S0. No solver trace needed for grading.,"Pinned official grade_sample returns ""correct: yes"" while __call__ tests == ""yes"": deterministic stub confirms false. Repair prohibited here. Configured OpenAI judge conflicts with MiniMax-only; replacing judge prohibited. Live-web drift unresolved."
tatqa_dev,PASS,FEASIBLE,PASS,"Complete public table, paragraphs and question; no external web, shell or hidden derivation/gold/relevant-paragraph annotations. One generic context packer and fixed answer serialization; reasoning may be distributed but no extra public data.","No source-level blocker. Legacy scalar-zero behavior requires legal nonempty answer-list representation, not scorer repair. Public test/test-gold are misaligned; screened pool is dev."
finqa_public_test,PASS,FEASIBLE,PASS,"All original pre_text/post_text/table/question; perform retrieval from full report input, never use qa.gold_inds or provided gold retrieval shortcut. No external web or native training model required.","No source-level blocker. Closely overlaps TAT-QA in objective/context; use as alternative, never count both as independent semantic families in preferred trio."
hotpot_distractor_dev,PASS,FEASIBLE,PASS,"All source-provided paragraphs (normally 10), titles, sentence indices and question; no fullwiki retrieval, no live web, no gold support labels or answer. Generic indexing over these same paragraphs allowed without adding documents.",No source-level blocker. Canonical CMU download failed HTTP/HTTPS in S0; versioned HF release retrieved. Mirror lineage is disclosed; no byte-for-byte canonical comparison claimed.
humaneval,PASS,FEASIBLE,PASS,"Source function signature/docstring/imports/examples; no external repo, network or runtime shell needed for completion-only protocol. Original tests only in evaluator.",Representative algorithmic prompts do not establish natural sensitive private context for >=23 tasks. Do not force enterprise credentials into toy functions. Evaluator sandbox not exercised in S0.
