package_path,source_path,note
aggregate/p0_cross_provider/emnlp_p0_cross_provider_results.csv,artifacts/emnlp2026_p0/results/emnlp_p0_cross_provider_results.csv,Table 1 aggregate means over provider/condition
aggregate/p0_cross_provider/emnlp_p0_cross_provider_runs.csv,artifacts/emnlp2026_p0/results/emnlp_p0_cross_provider_runs.csv,Per-run source for cross-provider aggregate
aggregate/p0_cross_provider/emnlp_p0_cross_provider_summary.json,artifacts/emnlp2026_p0/results/emnlp_p0_cross_provider_summary.json,Cross-provider summarizer status
aggregate/p0_overhead_replay/fixed_trace_overhead_replay.csv,artifacts/emnlp2026_p0/overhead_replay/fixed_trace_overhead_replay.csv,Fixed-trace overhead replay table
aggregate/p0_overhead_replay/fixed_trace_overhead_replay_summary.json,artifacts/emnlp2026_p0/overhead_replay/fixed_trace_overhead_replay_summary.json,Fixed-trace overhead replay summary
aggregate/p0_overhead_replay/fixed_trace_events.jsonl,artifacts/emnlp2026_p0/overhead_replay/fixed_trace_events.jsonl,Saved retrieval events used for fixed-trace replay
aggregate/p1_inspector_swap/inspector_swap_summary.csv,artifacts/emnlp2026_p1/inspector_swap/inspector_swap_summary.csv,Inspector-swap replay table
aggregate/p1_inspector_swap/inspector_swap_summary.json,artifacts/emnlp2026_p1/inspector_swap/inspector_swap_summary.json,Inspector-swap replay summary
aggregate/p1_inspector_swap/inspector_swap_events.csv,artifacts/emnlp2026_p1/inspector_swap/inspector_swap_events.csv,Inspector-swap per-event decisions
aggregate/p1_benign_false_quarantine/benign_false_quarantine_summary.csv,artifacts/emnlp2026_p1/benign_false_quarantine/benign_false_quarantine_summary.csv,Benign false-quarantine replay table
aggregate/p1_benign_false_quarantine/benign_false_quarantine_summary.json,artifacts/emnlp2026_p1/benign_false_quarantine/benign_false_quarantine_summary.json,Benign false-quarantine replay summary
aggregate/p1_benign_false_quarantine/benign_false_quarantine_events.csv,artifacts/emnlp2026_p1/benign_false_quarantine/benign_false_quarantine_events.csv,Benign false-quarantine per-record decisions
aggregate/retrieval_pressure_and_paraphrase/poison_pressure_results.csv,artifacts/icde2027_supplemental/results/poison_pressure_results.csv,Retrieval-pressure slices used in EMNLP table
aggregate/retrieval_pressure_and_paraphrase/paraphrase_family_results.csv,artifacts/icde2027_supplemental/results/paraphrase_family_results.csv,Six-family paraphrase stress source
