claim_id,claim,evidence_level,evidence_type,supported_status,confidence,ready_for_paper,caveat,evidence_path
C1/C2,P0 adapted AgentPoison retrieval containment,P0,adapted comparator summary,supported,medium,"yes, with caveat",Adapted AgentPoison full-ReAct MiniMax comparator; not official reproduction.,results/baseline_agentpoison_fullreact_minimax27_small_matrix_summary.json
C2,P0 FlowFence quarantine-actioncanon containment,P0,adapted comparator summary,supported,medium,"yes, with caveat",Retrieval-memory axis only; exposed poisoned retrieval and attack manifestation zero in saved runs.,results/baseline_agentpoison_fullreact_minimax27_small_matrix_summary.json
C3,P0 utility roughly preserved/noisy,P0,summary metric,partially supported,medium-low,"yes, conservative wording only",MiniMax full-ReAct utility is noisy; do not claim utility improvement.,results/baseline_agentpoison_fullreact_minimax27_small_matrix_summary.json
C12,P0 static keyword same-axis caveat,P0,weak comparator,supported as caveat,medium-low,"yes, conservative wording only",Known-trigger same-axis static keyword filter is strong; structured containment should not be framed as uniquely necessary on this axis.,results/baseline_agentpoison_fullreact_minimax27_static_keyword_filter_weak_comparator_summary.json
C9,P1 deterministic topology effect,P1 synthetic,task-state validated sweep,supported for deterministic synthetic only,medium,"yes, synthetic benchmark wording only",No provider calls; not real-model topology generalization.,artifacts/codex_task_state/codex_p1_benchmark_strengthening.md
C10,P1 deterministic FlowFence vs prompt_filter on indirect attacks,P1 synthetic,task-state validated sweep,supported for deterministic synthetic only,medium,"yes, synthetic benchmark wording only",Synthetic deterministic evidence only.,artifacts/codex_task_state/codex_p1_benchmark_strengthening.md
C22,P1 MiniMax post-fix aggregate smoke,P1 MiniMax smoke,18-run smoke summary,supported as small smoke,medium-low,"yes, smoke evidence with caveat only",One-seed 18-run MiniMax smoke; not broad real-model robustness.,artifacts/minimax_p1_smoke_postfix/summary_18run.json
C23,P1 MiniMax FlowFence clean subset,P1 MiniMax smoke,post-fix audit,supported as small smoke,medium-low,"yes, small MiniMax smoke wording only",Scoped to 6 FlowFence runs in saved smoke.,artifacts/minimax_p1_smoke_postfix_audit/audit_summary.json
C24/C25,P1 MiniMax prompt_filter indirect workspace poisoning failures,P1 MiniMax smoke,post-fix audit failure breakdown,supported as small-smoke baseline caveat,medium-low,"yes, audit/limitation evidence with caveat",Two prompt-filter workspace-poisoning failures; not broad prompt-filter evaluation.,artifacts/minimax_p1_smoke_postfix_audit/failure_breakdown.jsonl
C26,252/252 MiniMax-only synthetic-runtime coverage completed after retrying one transient timeout,P1 MiniMax 3-seed coverage,coverage manifest and retry manifest,supported,medium,"yes, with caveat",MiniMax-backed multi-agent synthetic-runtime coverage experiment; not real-world deployment.,artifacts/minimax_p1_coverage_3seed_debug/retry_manifest.json
C27,FlowFence 63/63 clean subset in 3-seed MiniMax coverage,P1 MiniMax 3-seed coverage,coverage summary and clean matrix,supported,medium,"yes, with caveat",FlowFence task_success_rate=1.0 and raw/external leakage 0.0 in configured MiniMax synthetic-runtime coverage.,artifacts/minimax_p1_coverage_3seed/flowfence_clean_matrix.csv
C28,FlowFence improves or ties no-defense/static_acl/prompt_filter on configured raw/external leakage comparisons,P1 MiniMax 3-seed coverage,coverage summary comparison counts,supported,medium,"yes, with caveat",Configured MiniMax synthetic-runtime comparison only; not broad superiority over all baselines.,artifacts/minimax_p1_coverage_3seed/coverage_summary.json
C29,topology_effect_observed=true in 252-run MiniMax coverage,P1 MiniMax 3-seed coverage,coverage summary and topology table,supported with caveat,medium-low to medium,"yes, with caveat","Topology effect observed in MiniMax synthetic-runtime benchmark, not real-world agent deployment.",artifacts/minimax_p1_coverage_3seed/coverage_by_topology.csv
U1,Broad real-model robustness,unsupported,claim boundary,unsupported,high confidence unsupported,no,"Current real-provider evidence is MiniMax-only synthetic-runtime coverage, not broad real-world robustness.",papers/claims_checklist.md
U2,Non-MiniMax generalization,unsupported,claim boundary,unsupported,high confidence unsupported,no,All real-provider evidence is MiniMax only.,papers/claims_checklist.md
U3,Production safety claim,unsupported,claim boundary,unsupported,high confidence unsupported,no,No production deployment evidence.,artifacts/evidence_index/p1_claims_refresh_4.md
U3B,Real browser/desktop/computer-use evidence,unsupported,claim boundary,unsupported,high confidence unsupported,no,"The 252-run coverage uses a synthetic deterministic MAS runtime, not real browser/desktop/computer-use agents.",artifacts/evidence_index/p1_claims_refresh_4.md
U4,Official AgentPoison reproduction,unsupported,claim boundary,unsupported,high confidence unsupported,no,P0 evidence is an adapted comparator only.,papers/claims_checklist.md
