source,status,input,original_evaluator,constraints
swe_verified,PASS,"instance_id, model_name_or_path, model_patch (unified diff)","Original Docker harness, test patch, eval_script and FAIL_TO_PASS/PASS_TO_PASS; no solver reasoning trace",P0 excludes uncontrolled model-authored native code/shell effects. Patch-only serialization is feasible but capability-equivalent execution/testing under P0 has not been demonstrated. Local Docker daemon absent. Dataset/repo licensing must be resolved.
bird_mini_pg,PASS,Prediction JSON indexed by original order with SQL plus source db_id delimiter; original gold SQL and DB kept evaluator-private,Original evaluation_ex.py; preserve evaluation_f1.py and evaluation_ves.py when reporting their source metrics; Python + func_timeout + DB drivers + numpy,No source-level blocker. PostgreSQL initialization not executed; timing metric not measured. Current archive differs from HF gold in one SQL entry; use canonical HF gold.
bird_mini_sqlite,PASS,Prediction JSON indexed by original order with SQL plus source db_id delimiter; original gold SQL and DB kept evaluator-private,Original evaluation_ex.py; preserve evaluation_f1.py and evaluation_ves.py when reporting their source metrics; Python + func_timeout + DB drivers + numpy,No source-level blocker. PostgreSQL initialization not executed; timing metric not measured. Current archive differs from HF gold in one SQL entry; use canonical HF gold.
livesqlbench-base-lite,FAIL,"instance_id plus pred_sqls, preprocessing/cleanup and original source test-case fields","Public evaluator runs pred_sqls, then source test cases / source comparison conditions against sol_sql; PostgreSQL or official SQLite variant","Every inspected row has empty sol_sql, test_cases and external_knowledge. Official release requires email to obtain GT/test cases; not requested/sent here. No original complete scorer input available."
livesqlbench-base-lite-sqlite,FAIL,"instance_id plus pred_sqls, preprocessing/cleanup and original source test-case fields","Public evaluator runs pred_sqls, then source test cases / source comparison conditions against sol_sql; PostgreSQL or official SQLite variant","Every inspected row has empty sol_sql, test_cases and external_knowledge. Official release requires email to obtain GT/test cases; not requested/sent here. No original complete scorer input available."
livesqlbench-base-full-v1,FAIL,"instance_id plus pred_sqls, preprocessing/cleanup and original source test-case fields","Public evaluator runs pred_sqls, then source test cases / source comparison conditions against sol_sql; PostgreSQL or official SQLite variant","Every inspected row has empty sol_sql, test_cases and external_knowledge. Official release requires email to obtain GT/test cases; not requested/sent here. No original complete scorer input available."
livesqlbench-large-v1,FAIL,"instance_id plus pred_sqls, preprocessing/cleanup and original source test-case fields","Public evaluator runs pred_sqls, then source test cases / source comparison conditions against sol_sql; PostgreSQL or official SQLite variant","Every inspected row has empty sol_sql, test_cases and external_knowledge. Official release requires email to obtain GT/test cases; not requested/sent here. No original complete scorer input available."
bird-interact-lite,FAIL,"Actual phase-wise SQL/state, dialogue/actions and bird-coin budgets; not a single answer substitute",Original two-phase reward/test evaluation plus ambiguity/user-simulator behavior and action costs; gold/test cases missing,Missing GT/test cases; current simulator privately stores reference SQL and influences clarification/reward. Preserving that environment under P0 and MiniMax-only without changing source semantics unresolved.
bird-interact-full,FAIL,"Actual phase-wise SQL/state, dialogue/actions and bird-coin budgets; not a single answer substitute",Original two-phase reward/test evaluation plus ambiguity/user-simulator behavior and action costs; gold/test cases missing,Missing GT/test cases; current simulator privately stores reference SQL and influences clarification/reward. Preserving that environment under P0 and MiniMax-only without changing source semantics unresolved.
browsecomp,FAIL,Full answer response including explanation/exact answer/confidence; scorer sees original private answer,Original grader prompt + configured gpt-4.1-2025-04-14 sampler + original correct parsing,"Pinned official grade_sample returns ""correct: yes"" while __call__ tests == ""yes"": deterministic stub confirms false. Repair prohibited here. Configured OpenAI judge conflicts with MiniMax-only; replacing judge prohibited. Live-web drift unresolved."
tatqa_dev,PASS,"uid -> [answer or answer-list, scale]; preserve EM/F1/scale and original detail reporting","Original tatqa_eval.py / TaTQAEmAndF1; Python, numpy, pandas, scipy; no model/judge/training checkpoint","No source-level blocker. Legacy scalar-zero behavior requires legal nonempty answer-list representation, not scorer repair. Public test/test-gold are misaligned; screened pool is dev."
finqa_public_test,PASS,"List of {id, predicted:[source DSL tokens including EOF]}","Original code/evaluate/evaluate.py, numerical program execution AND symbolic program accuracy; numpy/sympy/tqdm","No source-level blocker. Closely overlaps TAT-QA in objective/context; use as alternative, never count both as independent semantic families in preferred trio."
hotpot_distractor_dev,PASS,"{answer:{original_id:string}, sp:{original_id:[[title,sentence_index],...]}}",Original hotpot_evaluate_v1.py; Python + ujson; all answer/support/joint EM/F1/precision/recall retained,No source-level blocker. Canonical CMU download failed HTTP/HTTPS in S0; versioned HF release retrieved. Mirror lineage is disclosed; no byte-for-byte canonical comparison claimed.
humaneval,PASS,"JSONL {task_id,completion}; prompt/test/entry_point private/public split retained","Original human_eval/evaluation.py and execution.py; Python, numpy, tqdm; isolated evaluator code execution required",Representative algorithmic prompts do not establish natural sensitive private context for >=23 tasks. Do not force enterprise credentials into toy functions. Evaluator sandbox not exercised in S0.
