source,split,official_total,potentially_eligible,unresolved,source_ineligible,basis
swe_verified,test,500,0,500,0,"Pre-result source/schema screen; no solver outcome filter; counts are provisional pools, not a selected semantic sample. P0 excludes uncontrolled model-authored native code/shell effects. Patch-only serialization is feasible but capability-equivalent execution/testing under P0 has not been demonstrated. Local Docker daemon absent. Dataset/repo licensing must be resolved."
bird_mini_pg,mini_dev_pg,500,500,0,0,"Pre-result source/schema screen; no solver outcome filter; counts are provisional pools, not a selected semantic sample. No source-level blocker. PostgreSQL initialization not executed; timing metric not measured. Current archive differs from HF gold in one SQL entry; use canonical HF gold."
bird_mini_sqlite,mini_dev_sqlite,500,500,0,0,"Pre-result source/schema screen; no solver outcome filter; counts are provisional pools, not a selected semantic sample. No source-level blocker. PostgreSQL initialization not executed; timing metric not measured. Current archive differs from HF gold in one SQL entry; use canonical HF gold."
livesqlbench-base-lite,dev,270,0,0,270,"Pre-result source/schema screen; no solver outcome filter; counts are provisional pools, not a selected semantic sample. Every inspected row has empty sol_sql, test_cases and external_knowledge. Official release requires email to obtain GT/test cases; not requested/sent here. No original complete scorer input available."
livesqlbench-base-lite-sqlite,dev,270,0,0,270,"Pre-result source/schema screen; no solver outcome filter; counts are provisional pools, not a selected semantic sample. Every inspected row has empty sol_sql, test_cases and external_knowledge. Official release requires email to obtain GT/test cases; not requested/sent here. No original complete scorer input available."
livesqlbench-base-full-v1,dev,600,0,0,600,"Pre-result source/schema screen; no solver outcome filter; counts are provisional pools, not a selected semantic sample. Every inspected row has empty sol_sql, test_cases and external_knowledge. Official release requires email to obtain GT/test cases; not requested/sent here. No original complete scorer input available."
livesqlbench-large-v1,dev,480,0,0,480,"Pre-result source/schema screen; no solver outcome filter; counts are provisional pools, not a selected semantic sample. Every inspected row has empty sol_sql, test_cases and external_knowledge. Official release requires email to obtain GT/test cases; not requested/sent here. No original complete scorer input available."
bird-interact-lite,dev,300,0,0,300,"Pre-result source/schema screen; no solver outcome filter; counts are provisional pools, not a selected semantic sample. Missing GT/test cases; current simulator privately stores reference SQL and influences clarification/reward. Preserving that environment under P0 and MiniMax-only without changing source semantics unresolved."
bird-interact-full,dev,600,0,0,600,"Pre-result source/schema screen; no solver outcome filter; counts are provisional pools, not a selected semantic sample. Missing GT/test cases; current simulator privately stores reference SQL and influences clarification/reward. Preserving that environment under P0 and MiniMax-only without changing source semantics unresolved."
browsecomp,test,1266,0,0,1266,"Pre-result source/schema screen; no solver outcome filter; counts are provisional pools, not a selected semantic sample. Pinned official grade_sample returns ""correct: yes"" while __call__ tests == ""yes"": deterministic stub confirms false. Repair prohibited here. Configured OpenAI judge conflicts with MiniMax-only; replacing judge prohibited. Live-web drift unresolved."
tatqa_dev,dev,1668,1668,0,0,"Pre-result source/schema screen; no solver outcome filter; counts are provisional pools, not a selected semantic sample. No source-level blocker. Legacy scalar-zero behavior requires legal nonempty answer-list representation, not scorer repair. Public test/test-gold are misaligned; screened pool is dev."
finqa_public_test,test (public only),1147,1147,0,0,"Pre-result source/schema screen; no solver outcome filter; counts are provisional pools, not a selected semantic sample. No source-level blocker. Closely overlaps TAT-QA in objective/context; use as alternative, never count both as independent semantic families in preferred trio."
hotpot_distractor_dev,distractor/validation (= official dev),7405,7405,0,0,"Pre-result source/schema screen; no solver outcome filter; counts are provisional pools, not a selected semantic sample. No source-level blocker. Canonical CMU download failed HTTP/HTTPS in S0; versioned HF release retrieved. Mirror lineage is disclosed; no byte-for-byte canonical comparison claimed."
humaneval,test,164,0,164,0,"Pre-result source/schema screen; no solver outcome filter; counts are provisional pools, not a selected semantic sample. Representative algorithmic prompts do not establish natural sensitive private context for >=23 tasks. Do not force enterprise credentials into toy functions. Evaluator sandbox not exercised in S0."
