evidence_scope,what_it_supports,what_it_does_not_support,provider,provider_calls_enabled,run_count_or_scale,main_caveat,next_required_evidence
P0 AgentPoison retrieval-memory comparator,Adapted MiniMax full-ReAct retrieval-memory containment and same-axis baseline caveats.,"Official AgentPoison reproduction, broad provider generalization, or full multi-agent propagation.",MiniMax,true in saved P0 runs,3-run repeated summaries plus overhead slices,Adapted comparator; retrieval-memory only.,Table-ready presentation and optional additional baselines.
P1 deterministic synthetic MAS,Scripted local MAS sweep and summary infrastructure.,Real-model behavior or topology claims by itself.,MiniMax metadata only,false,144-run initial deterministic matrix,Initial topology effects were absent before strengthening.,Use strengthened benchmark for topology/baseline claims.
P1 strengthened deterministic MAS,Synthetic topology-dependent propagation and FlowFence-vs-baseline distinctions on indirect attacks.,Real-model robustness or deployment behavior.,MiniMax metadata only,false,252-run deterministic strengthened matrix,Deterministic scripted runtime only.,Map results into paper tables and compare with MiniMax smoke.
P1 MiniMax 18-run smoke,"Small real-MiniMax final-writer smoke, FlowFence clean subset, prompt-filter indirect workspace-poisoning failures.","Broad real-model robustness, multi-seed robustness, or non-MiniMax generalization.",MiniMax,true,"18 runs, one seed",Small smoke only; raw traces and provider outputs uncommitted.,"Manual table review, then optional broader MiniMax coverage."
P1 MiniMax 84-run coverage,One-seed MiniMax-backed synthetic-runtime coverage broader than the 18-run smoke.,"Multi-seed robustness, non-MiniMax generalization, or real browser/desktop agents.",MiniMax,true,84,Superseded by 252-run 3-seed coverage for current MiniMax table claims.,Use 252-run table as canonical MiniMax result.
P1 MiniMax 252-run 3-seed coverage,"MiniMax-backed synthetic-runtime multi-agent coverage over 3 topologies, 7 attacks, 4 defenses, 3 seeds.","Non-MiniMax generalization, real browser/desktop agents, production safety.",MiniMax,true,252,Synthetic deterministic MAS runtime; MiniMax final-writer only.,Optional paper drafting or additional real-world/non-MiniMax experiments.
Not yet done: non-MiniMax providers,NA,Unsupported: non-MiniMax generalization.,not done,not run,not done,Provider rule remains MiniMax-only.,Human-approved provider scope change would be required.
Not yet done: browser/desktop/computer-use agents,NA,"Real browser, desktop, or computer-use agent evidence.",not done,not run,not done,No browser/desktop/computer-use experiments.,Separate scoped experiment design.
Not yet done: production deployment,NA,Production safety or deployment robustness.,not done,not run,not done,No production deployment evidence.,Separate deployment evaluation plan.
Not yet done: learned graph risk scorer,NA,Learned graph-risk scoring claims.,not done,not run,not done,Current scoring is deterministic/runtime rule-based.,Separate model/scorer development and evaluation.
